,Text,Date
84,@JoJoFromJerz Would you vote for “The GREAT MAGA King” if he’d take our guns?  Toxic feminism smells terrible…you know what I mean.,2023-05-07 06:11:45+00:00
85,"RT @eccentrikhat: @Androphillia The original suffragettes were mostly wealthy women, and they had no interest in helping poor women - parti…",2023-05-07 06:11:35+00:00
86,It's amazing how I like the fem characters a whooole lot more in hsr seeing as how I usually do like male character… https://t.co/uRL1YHiuni,2023-05-07 06:11:20+00:00
87,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:11:10+00:00
88,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 06:11:10+00:00
89,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:11:07+00:00
90,"@DrProudman Interesting that as a feminist you blame men alone, ignore men's half of issues (eg mgm, ipv, etc) and… https://t.co/hzyD8iUEgp",2023-05-07 06:11:07+00:00
91,@ask_aubry And there are so many people that hide behind the name of feminism to just bring men down or to disrupt… https://t.co/neOaPcq38i,2023-05-07 06:10:50+00:00
92,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:10:38+00:00
93,"RT @Behembaba: This is Queen Elizabeth I, who in 1562 authorized the beginning of the Transatlantic Slave Trade which in turn lead to the d…",2023-05-07 06:10:36+00:00
94,RT @GhostWealth_: the antidote to toxic feminism https://t.co/XaMrETXNPU,2023-05-07 06:10:22+00:00
95,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:10:19+00:00
96,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:10:17+00:00
97,"Melihat diskursus feminisme di Twitter yang muter2 di soal benerin genteng dan angkat galon ini, i wish those boys… https://t.co/am1bnh1jH2",2023-05-07 06:10:11+00:00
98,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:09:39+00:00
99,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:09:28+00:00
100,@SophieRunning That’s great to hear! Women supporting all women 🥰 we don't need bigots touting some bastardised ver… https://t.co/5XbdwIadVV,2023-05-07 06:09:21+00:00
101,"RT @ASAP_SOLDIER: @WokeArchive Liberals everywhere are cheering, so much for feminism",2023-05-07 06:09:21+00:00
102,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 06:09:15+00:00
103,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 06:08:55+00:00
104,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:08:31+00:00
